date,rolling_return,rolling_volatility,rolling_correlation,regime_cluster,regime,dataset
2024-11-12,0.00015413623744380217,0.10891618703420858,0.11318212446828053,2,Calm,train
2024-11-13,-0.00020544873438402966,0.11271384897433696,0.12830749298307506,2,Calm,train
2024-11-14,-0.0006139744496146953,0.12003828782492963,0.15489738681097645,0,Defensive,train
2024-11-18,-0.0007386894636895685,0.11971906578698302,0.1541493783121997,0,Defensive,train
2024-11-19,-0.0010256888508859805,0.12063359694734975,0.162847514400177,0,Defensive,train
2024-11-21,-0.0010320417914157422,0.12063038234314531,0.16699034665363763,0,Defensive,train
2024-11-22,-0.0008257014272929309,0.11681999998083024,0.1564759563169736,0,Defensive,train
2024-11-25,0.000802281789127944,0.16518612182265927,0.3189114107809897,0,Defensive,train
2024-11-26,0.0017996531238924287,0.17651650512806527,0.3505414502972767,1,High Volatility,train
2024-11-27,0.0021422981392939786,0.17487280687244475,0.3648152231861996,1,High Volatility,train
2024-11-28,0.0017429838199714473,0.17378829318432548,0.37153491683035195,1,High Volatility,train
2024-11-29,0.0004239917466718178,0.17503870328811771,0.39939551829674563,1,High Volatility,train
2024-12-02,0.001001522669144424,0.17548033026469212,0.4073357768527571,1,High Volatility,train
2024-12-03,0.0013089104952951959,0.17507948196934875,0.46754134388087615,1,High Volatility,train
2024-12-04,0.0016526124736677855,0.17718893379353798,0.4624090044282044,1,High Volatility,train
2024-12-05,0.0022196719588237135,0.1727950286673453,0.4491355804294889,1,High Volatility,train
2024-12-06,0.002484875741383271,0.17564192009640842,0.4692236037237172,1,High Volatility,train
2024-12-09,0.0015898508192975739,0.16864828672909915,0.4666402703201594,1,High Volatility,train
2024-12-10,0.0018456841755105115,0.16659385299352747,0.45848061510754473,1,High Volatility,train
2024-12-11,0.002099141439059937,0.1653609667259548,0.4696716409601741,1,High Volatility,train
2024-12-12,0.0018692734163008886,0.16556495739834629,0.4765057729768921,1,High Volatility,train
2024-12-13,0.0020604741206722613,0.16306899370725708,0.47537848568924657,1,High Volatility,train
2024-12-16,0.0031387931915287603,0.15556935382541137,0.44825142542070767,1,High Volatility,train
2024-12-17,0.0029773401285701087,0.15705963908984472,0.461118814976074,1,High Volatility,train
2024-12-18,0.0026290912573096125,0.16367346276334693,0.513363727801793,1,High Volatility,train
2024-12-19,0.0024203918278707945,0.16551461796251657,0.5258156165317464,1,High Volatility,train
2024-12-20,0.002099134758682426,0.17188099262130066,0.5620356997920518,1,High Volatility,train
2024-12-23,-0.0002539128534671347,0.14158580903546367,0.4623627289060721,0,Defensive,train
2024-12-24,-0.0007436127062443029,0.1279027779778192,0.43958921822668123,0,Defensive,train
2024-12-26,-0.000893080074715681,0.12742332445450377,0.44509605573165223,0,Defensive,train
2024-12-27,-0.0009916289772186654,0.1274866448797043,0.45560581192836713,0,Defensive,train
2024-12-30,-0.00034613648538009975,0.11972085557023644,0.4412993872313798,0,Defensive,train
