Strategy,Simulation,Terminal Wealth
Risk-Aware Regime Switching,347,89.24930083101346
Risk-Aware Regime Switching,348,75.82230986112978
Risk-Aware Regime Switching,349,86.40854816702941
Risk-Aware Regime Switching,350,92.21054522354203
Risk-Aware Regime Switching,351,115.11132142677826
Risk-Aware Regime Switching,352,84.41366512035597
Risk-Aware Regime Switching,353,90.75455464339588
Risk-Aware Regime Switching,354,101.6122397487386
Risk-Aware Regime Switching,355,88.84815299879928
Risk-Aware Regime Switching,356,98.48260291777324
Risk-Aware Regime Switching,357,87.15576345166436
Risk-Aware Regime Switching,358,90.02920705557433
Risk-Aware Regime Switching,359,90.59465573819364
Risk-Aware Regime Switching,360,102.17851868678285
Risk-Aware Regime Switching,361,108.20216023684719
Risk-Aware Regime Switching,362,76.883277095818
Risk-Aware Regime Switching,363,140.4958358559238
Risk-Aware Regime Switching,364,58.62266275659006
Risk-Aware Regime Switching,365,89.55847930545423
Risk-Aware Regime Switching,366,100.41154281219653
Risk-Aware Regime Switching,367,75.9853204981445
Risk-Aware Regime Switching,368,117.19730425072663
Risk-Aware Regime Switching,369,70.71338995169846
Risk-Aware Regime Switching,370,105.79873948091173
Risk-Aware Regime Switching,371,106.90977711264091
Risk-Aware Regime Switching,372,106.8871509592
Risk-Aware Regime Switching,373,91.38986848736317
Risk-Aware Regime Switching,374,118.3130659550852
Risk-Aware Regime Switching,375,84.30350747755418
Risk-Aware Regime Switching,376,70.02402554513921
Risk-Aware Regime Switching,377,102.98625532274106
Risk-Aware Regime Switching,378,115.62724394911311
Risk-Aware Regime Switching,379,141.5162041529029
Risk-Aware Regime Switching,380,69.79663820357892
Risk-Aware Regime Switching,381,88.59984141493644
Risk-Aware Regime Switching,382,91.89542033087622
Risk-Aware Regime Switching,383,61.18130884292611
Risk-Aware Regime Switching,384,98.31399458836368
Risk-Aware Regime Switching,385,120.16500872216378
Risk-Aware Regime Switching,386,114.33966637834445
Risk-Aware Regime Switching,387,64.705889198743
Risk-Aware Regime Switching,388,132.40735799952782
Risk-Aware Regime Switching,389,88.84215997897358
Risk-Aware Regime Switching,390,119.60580692723875
Risk-Aware Regime Switching,391,94.0711251325895
Risk-Aware Regime Switching,392,112.2353468571409
Risk-Aware Regime Switching,393,49.28426064924196
Risk-Aware Regime Switching,394,72.36030587029731
Risk-Aware Regime Switching,395,131.66672482704172
Risk-Aware Regime Switching,396,89.45534857620422
Risk-Aware Regime Switching,397,132.7859813566047
Risk-Aware Regime Switching,398,98.41889305779743
Risk-Aware Regime Switching,399,134.45082017090243
Risk-Aware Regime Switching,400,111.16760373740202
Risk-Aware Regime Switching,401,84.12728702982193
Risk-Aware Regime Switching,402,101.64656087450629
Risk-Aware Regime Switching,403,78.53880492801949
Risk-Aware Regime Switching,404,104.94151748149221
Risk-Aware Regime Switching,405,148.11780215614812
Risk-Aware Regime Switching,406,122.30909618615668
Risk-Aware Regime Switching,407,128.14638206992547
Risk-Aware Regime Switching,408,96.1614551313578
Risk-Aware Regime Switching,409,94.17895491674007
Risk-Aware Regime Switching,410,143.3916889695193
Risk-Aware Regime Switching,411,109.17997701812642
Risk-Aware Regime Switching,412,104.35116939184645
Risk-Aware Regime Switching,413,143.11118062692978
Risk-Aware Regime Switching,414,101.95906208708038
Risk-Aware Regime Switching,415,92.9214662598153
Risk-Aware Regime Switching,416,126.7346005928371
Risk-Aware Regime Switching,417,100.75954704541836
Risk-Aware Regime Switching,418,76.8585105963903
Risk-Aware Regime Switching,419,86.78396735297478
Risk-Aware Regime Switching,420,65.54103234300963
Risk-Aware Regime Switching,421,76.22366234619
Risk-Aware Regime Switching,422,79.33440033156363
Risk-Aware Regime Switching,423,113.88993976582438
Risk-Aware Regime Switching,424,104.51381485100086
Risk-Aware Regime Switching,425,96.05212902352996
Risk-Aware Regime Switching,426,71.17266179938517
Risk-Aware Regime Switching,427,95.78144220468334
Risk-Aware Regime Switching,428,107.70329652646728
Risk-Aware Regime Switching,429,104.42917505873078
Risk-Aware Regime Switching,430,94.59336333328415
