Strategy,Simulation,Maximum Drawdown
Risk-Aware Regime Switching,248,-0.28868292530963646
Risk-Aware Regime Switching,249,-0.2674466959327433
Risk-Aware Regime Switching,250,-0.18581835042900308
Risk-Aware Regime Switching,251,-0.15712887968414757
Risk-Aware Regime Switching,252,-0.13734619774673096
Risk-Aware Regime Switching,253,-0.12426318220883492
Risk-Aware Regime Switching,254,-0.42249828980127935
Risk-Aware Regime Switching,255,-0.39366600954854347
Risk-Aware Regime Switching,256,-0.12722484433208125
Risk-Aware Regime Switching,257,-0.35515872917915636
Risk-Aware Regime Switching,258,-0.22555144992606968
Risk-Aware Regime Switching,259,-0.2282218855502901
Risk-Aware Regime Switching,260,-0.27745402801323893
Risk-Aware Regime Switching,261,-0.13061134693426302
Risk-Aware Regime Switching,262,-0.29238898365789845
Risk-Aware Regime Switching,263,-0.19029855499719517
Risk-Aware Regime Switching,264,-0.3793035674151185
Risk-Aware Regime Switching,265,-0.08839752691710145
Risk-Aware Regime Switching,266,-0.2765154019737941
Risk-Aware Regime Switching,267,-0.206477313085353
Risk-Aware Regime Switching,268,-0.3657179161963372
Risk-Aware Regime Switching,269,-0.28896150277884514
Risk-Aware Regime Switching,270,-0.28056687915626166
Risk-Aware Regime Switching,271,-0.21488545711149465
Risk-Aware Regime Switching,272,-0.33199511251907676
Risk-Aware Regime Switching,273,-0.158582389791866
Risk-Aware Regime Switching,274,-0.43490559468455814
Risk-Aware Regime Switching,275,-0.35357806918016144
Risk-Aware Regime Switching,276,-0.17872412465506238
Risk-Aware Regime Switching,277,-0.11371039667974392
Risk-Aware Regime Switching,278,-0.39446549198452385
Risk-Aware Regime Switching,279,-0.28555148947395037
Risk-Aware Regime Switching,280,-0.1363410983355452
Risk-Aware Regime Switching,281,-0.3030866620326823
Risk-Aware Regime Switching,282,-0.15611660853873577
Risk-Aware Regime Switching,283,-0.17362539502088026
Risk-Aware Regime Switching,284,-0.181714988945484
Risk-Aware Regime Switching,285,-0.18943202215965504
Risk-Aware Regime Switching,286,-0.17371546646988434
Risk-Aware Regime Switching,287,-0.18809505004039662
Risk-Aware Regime Switching,288,-0.28886063380568916
Risk-Aware Regime Switching,289,-0.2771113210705942
Risk-Aware Regime Switching,290,-0.30569820560124705
Risk-Aware Regime Switching,291,-0.16431892170611728
Risk-Aware Regime Switching,292,-0.2789787824734268
Risk-Aware Regime Switching,293,-0.22666965081577461
Risk-Aware Regime Switching,294,-0.20129384862956679
Risk-Aware Regime Switching,295,-0.1223478323901055
Risk-Aware Regime Switching,296,-0.3150221191446988
Risk-Aware Regime Switching,297,-0.20339631171763817
Risk-Aware Regime Switching,298,-0.32282735469589197
Risk-Aware Regime Switching,299,-0.09359006820515492
Risk-Aware Regime Switching,300,-0.38998185061504365
Risk-Aware Regime Switching,301,-0.4045161685177231
Risk-Aware Regime Switching,302,-0.38952372180577177
Risk-Aware Regime Switching,303,-0.23378648881123643
Risk-Aware Regime Switching,304,-0.12943431592983579
Risk-Aware Regime Switching,305,-0.1159494732412133
Risk-Aware Regime Switching,306,-0.1846423478043776
Risk-Aware Regime Switching,307,-0.08760482205284248
Risk-Aware Regime Switching,308,-0.32167004888656625
Risk-Aware Regime Switching,309,-0.21801709672669822
Risk-Aware Regime Switching,310,-0.3304583022690418
Risk-Aware Regime Switching,311,-0.1634826004369947
Risk-Aware Regime Switching,312,-0.23844579645100916
Risk-Aware Regime Switching,313,-0.2546139743524303
Risk-Aware Regime Switching,314,-0.28652001137217187
Risk-Aware Regime Switching,315,-0.28723248916584765
Risk-Aware Regime Switching,316,-0.28828540849225603
