date,HDFCBANK,ICICIBANK,INFY,ITC,LT,RELIANCE,SBIN,TCS
2024-01-29,696.438720703125,1000.008544921875,1526.62841796875,386.0875549316406,3609.825439453125,1430.795654296875,589.9810791015625,3497.754150390625
2024-01-30,691.4834594726562,1000.5005493164062,1521.8824462890625,376.0019226074219,3537.103271484375,1390.8524169921875,593.5799560546875,3497.340576171875
2024-01-31,700.220947265625,1011.569091796875,1530.5911865234375,379.0061645507813,3387.618896484375,1409.6258544921875,606.6022338867188,3511.51123046875
2024-02-01,702.040283203125,1008.6174926757812,1527.0433349609375,380.1649475097656,3308.033203125,1409.650634765625,613.3739013671875,3546.66357421875
2024-02-02,692.369140625,1007.4859619140624,1560.4951171875,377.7615356445313,3286.664306640625,1440.3306884765625,615.26806640625,3649.866943359375
2024-02-05,691.7467651367188,1006.9940795898438,1554.82763671875,376.0019226074219,3253.2724609375,1421.8782958984375,608.922607421875,3656.308349609375
2024-02-06,691.3876342773438,1009.8472900390624,1593.7628173828125,370.29388427734375,3333.58837890625,1410.7869873046875,615.8362426757812,3806.02783203125
2024-02-07,684.6130981445312,1005.6658325195312,1560.86376953125,370.6371765136719,3304.820556640625,1424.966064453125,639.5131225585938,3757.6240234375
2024-02-08,671.734375,973.3455810546876,1559.34326171875,361.260986328125,3247.18798828125,1432.845947265625,662.527099609375,3804.27978515625
2024-02-09,671.9976196289062,994.4005126953124,1538.378173828125,362.0888671875,3236.528076171875,1443.3443603515625,686.8670043945312,3803.911376953125
2024-02-12,665.4864501953125,980.035888671875,1548.2847900390625,354.55078125,3212.189697265625,1435.04443359375,670.4352416992188,3791.94873046875
2024-02-13,667.6168823242188,1003.3536987304688,1552.3856201171875,354.4636535644531,3233.55859375,1447.6424560546875,675.6915283203125,3818.45068359375
2024-02-14,662.6377563476562,1006.2069702148438,1535.475341796875,358.6466369628906,3221.3896484375,1463.7235107421875,704.0564575195312,3772.991943359375
2024-02-15,677.0007934570312,1000.2545166015624,1544.8291015625,351.9800109863281,3212.920166015625,1453.076904296875,721.387939453125,3775.8447265625
2024-02-16,679.8015747070312,1006.7481079101562,1568.14404296875,352.5900573730469,3297.0810546875,1443.17138671875,714.7583618164062,3798.942138671875
2024-02-19,678.4609985351562,1026.91748046875,1566.39306640625,356.64227294921875,3251.4228515625,1456.4365234375,719.0675048828125,3776.396484375
2024-02-20,696.2711791992188,1031.8367919921875,1553.03076171875,353.897216796875,3267.875244140625,1453.4969482421875,719.87255859375,3709.082275390625
2024-02-21,689.0177612304688,1034.985107421875,1525.660888671875,351.5007019042969,3209.123046875,1450.2115478515625,730.6693115234375,3673.05615234375
2024-02-22,679.634033203125,1045.5618896484375,1549.4365234375,361.1738586425781,3274.68994140625,1464.0941162109375,725.3656616210938,3761.02880859375
2024-02-23,680.13671875,1044.1845703125,1545.2896728515625,358.5159606933594,3298.2490234375,1475.82763671875,718.8781127929688,3728.821044921875
